Wordform_GS2	Lemma_GS2	POS_GS2	Gram_GS2	Status	NB
Цветки	цветок	S	m,nom,pl	ON	
дикорастущих	дикорастущий	A	gen,pl	ON	
форм	форма	S	f,gen,pl	ON	
обыкновенной	обыкновенный	A	f,gen,sg	ON	
сирени	сирень	S	f,gen,sg	ON	
мелкие	мелкий	A	nom,pl	ON	
,				OFF	
собраны	собрать	V	brev,nom,partcp,pass,past,pl	ON	
парными	парный	A	ins,pl	ON	
пучками	пучок	S	ins,m,pl	ON	
(				OFF	
по	по	PR		ON	
3				OFF	
-				OFF	
5				OFF	
цветков	цветок	S	gen,m,pl	ON	
в	в	PR		ON	
пучке	пучок	S	loc,m,sg	ON	
,				OFF	
отдельные	отдельный	A	nom,pl	ON	
сорта	сорт	S	m,nom,pl	ON	
по	по	PR		ON	
7				OFF	
-				OFF	
9				OFF	
цветков	цветок	S	gen,m,pl	ON	
)				OFF	
.				OFF	
В	в	PR		ON	
конце	конец	S	loc,m,sg	ON	
осени	осень	S	f,gen,sg	ON	
кора	кора	S	f,nom,sg	ON	
побегов	побег	S	gen,m,pl	ON	
становится	становиться	V	3p,pres,sg	ON	
серой	серый	A	f,ins,sg	ON	
.				OFF	
В	в	PR		ON	
центре	центр	S	loc,m,sg	ON	
цветка	цветок	S	gen,m,sg	ON	
				OFF	
бело-кремовое	бело-кремовый	A	n,nom,sg	ON	#
пятнышко	пятнышко	S	n,nom,sg	ON	
в	в	PR		OFF	PR_COMPLEX
виде	вид	S	loc,m,sg	OFF	PR_COMPLEX
звездочки	звездочка	S	f,gen,sg	ON	
.				OFF	
При	при	PR		ON	
уплотнении	уплотнение	S	loc,n,sg	ON	
почвы	почва	S	f,gen,sg	ON	
и	и	CONJ		ON	
асфальтировании	асфальтирование	S	loc,n,sg	ON	
суховершинит	суховершинить	V	3p,pres,sg	ON	
.				OFF	
Морозостоек	морозостойкий	A	brev,m,nom,sg	ON	
.				OFF	
Родина	родина	S	f,nom,sg	ON	
-				OFF	
горные	горный	A	nom,pl	ON	
леса	лес	S	m,nom,pl	ON	
Тянь-Шаня	тянь-шань	S	gen,m,sg	ON	
.				OFF	
Дико	дико	ADV		ON	
растет	расти	V	3p,pres,sg	ON	
на	на	PR		ON	
сухих	сухой	A	loc,pl	ON	
склонах	склон	S	loc,m,pl	ON	
в	в	PR		ON	
умеренно	умеренно	ADV		ON	
теплых	теплый	A	loc,pl	ON	
районах	район	S	loc,m,pl	ON	
на	на	PR		ON	
обширной	обширный	A	f,loc,sg	ON	
территории	территория	S	f,loc,sg	ON	
от	от	PR		ON	
Западной	западный	A	f,gen,sg	ON	
Европы	европа	S	f,gen,sg	ON	
до	до	PR		ON	
восточной	восточный	A	f,gen,sg	ON	
Азии	азия	S	f,gen,sg	ON	
.				OFF	
Полученное	получить	V	acc,n,partcp,pass,past,sg	ON	
количество	количество	S	acc,n,sg	ON	
саженцев	саженец	S	gen,m,pl	ON	
затем	затем	ADV		ON	
распределяют	распределять	V	3p,pl,pres	ON	
пропорционально	пропорционально	ADV		ON	
объему	объем	S	dat,m,sg	ON	
работ	работа	S	f,gen,pl	ON	
по	по	PR		ON	
годам	год	S	dat,m,pl	ON	
перспективного	перспективный	A	gen,n,sg	ON	
периода	период	S	gen,m,sg	ON	
и	и	CONJ		ON	
вычисляют	вычислять	V	3p,pl,pres	ON	
среднегодовую	среднегодовой	A	acc,f,sg	ON	
потребность	потребность	S	acc,f,sg	ON	
.				OFF	
Дистальнее	дистально	ADV	comp	ON	
места	место	S	gen,n,sg	ON	
сужения	сужение	S	gen,n,sg	ON	
проток	проток	S	m,nom,sg	ON	
не	не	ADV		ON	
визуализируется	визуализировать	V	3p,pres,sg	ON	
.				OFF	
ЗАКЛЮЧЕНИЕ	заключение	S	n,nom,sg	ON	
:				OFF	
Инфильтративные	инфильтративный	A	nom,pl	ON	
изменения	изменение	S	n,nom,pl	ON	
в	в	PR		ON	
зоне	зона	S	f,loc,sg	ON	
гепатикоэнтероанастомоза	гепатикоэнтероанастомоз	S	gen,m,sg	ON	
,				OFF	
в	в	PR		ON	
воротах	ворота	S	loc,pl	ON	
печени	печень	S	f,gen,sg	ON	
,				OFF	
во	во	PR		ON	
внутрибрюшной	внутрибрюшной	A	f,loc,sg	ON	
жировой	жировой	A	f,loc,sg	ON	
клетчатке	клетчатка	S	f,loc,sg	ON	
.				OFF	
Золотовалютные	золотовалютный	A	nom,pl	ON	
резервы	резерв	S	m,nom,pl	ON	
